Symbol,Structure,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,,,,,,,,,,,,,
XHB,ETF,0.35%,$0.02,0.53%,"$1,989.30 ",60.3," 4,404,889 ", 1.77 ,,,,,,,,,,,,,
CWB,ETF,0.40%,$0.11,3.46%,"$1,978.70 ",42.7," 463,955 ", 0.86 ,,,,,,,,,,,,,
PGX,ETF,0.50%,$0.07,6.79%,"$1,969.40 ",146.8," 947,237 ", (0.42),,,,,,,,,,,,,
FDN,ETF,0.60%,$0.01,0.03%,"$1,903.40 ",32," 340,039 ", 1.49 ,,,,,,,,,,,,,
SCHA,ETF,0.10%,$0.17,1.14%,"$1,877.10 ",35.9," 250,330 ", 1.29 ,,,,,,,,,,,,,
VOT,ETF,0.10%,$0.54,0.62%,"$1,874.80 ",20.9," 99,863 ", 1.10 ,,,,,,,,,,,,,
SCHF,ETF,0.09%,$0.70,2.24%,"$1,872.20 ",60.2," 325,928 ", 1.09 ,,,,,,,,,,,,,
DJP,ETN,0.75%,,,"$1,866.90 ",50.3," 590,455 ", 0.69 ,,,,,,,,,,,,,
PCY,ETF,0.50%,$0.11,4.68%,"$1,852.30 ",68.4," 674,645 ", (0.73),,,,,,,,,,,,,
MVV,ETF,0.95%,$0.04,0.03%,"$1,782.20 ",14.2," 342,331 ", 2.39 ,,,,,,,,,,,,,
DLN,ETF,0.28%,$0.14,2.26%,"$1,771.00 ",26.7," 76,236 ", 0.92 ,,,,,,,,,,,,,
DGS,ETF,0.64%,$0.46,3.37%,"$1,726.70 ",38.1," 180,016 ", (1.47),,,,,,,,,,,,,
EFG,ETF,0.40%,$0.46,1.88%,"$1,724.60 ",24.4," 80,180 ", 1.05 ,,,,,,,,,,,,,
VFH,ETF,0.19%,$0.21,1.83%,"$1,719.70 ",38.8," 162,628 ", 1.26 ,,,,,,,,,,,,,
TBF,ETF,0.95%,,,"$1,709.60 ",51.9," 779,658 ", 1.22 ,,,,,,,,,,,,,
VSS,ETF,0.25%,$0.38,3.11%,"$1,691.20 ",16.7," 78,016 ", 1.09 ,,,,,,,,,,,,,
VDC,ETF,0.14%,$2.43,4.57%,"$1,660.00 ",15.1," 64,508 ", 1.06 ,,,,,,,,,,,,,
